type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
rigging,13mmBS,,226.33399999999997,,0.047,,False,-0.65,0.025,0.0,1.3,1,,226.38099999999997,False,-0.65,41,53,,,,,,,,,S245
rigging,10mm Load Ring,,226.38099999999997,,0.155,,False,0.5,0.025,0.0,1.3,1,,226.53599999999997,False,0.5,42,54,,,,,,,,,S245
rigging,16mmBS,,226.53599999999997,,0.06,,False,-0.65,0.025,0.0,1.3,1,,226.59599999999998,False,-0.65,43,55,,,,,,,,,S245
floats,35in (UWA),1-17_Buoy01_300m,226.59599999999998,,1.1,,False,238.0,0.0,0.9,0.65,4,,227.69599999999997,False,238.0,44,56,,,,,,,,,S245
miscs,Sercel+frame (UWA),,227.69599999999997,,0.55,,False,-10.0,0.15,0.0,1.3,1,,228.24599999999998,False,-10.0,45,57,,,,,,,,,S245
miscs,Sercel,126990,,228.09599999999998,0.05,,False,0.0,0.0,0.0,0.0,1,,,True,,45,58,0.4,Sercel+frame (UWA),,True,227.69599999999997,228.24599999999998,True,True,S245
rigging,13mmBS,,228.24599999999998,,0.047,,False,-0.65,0.025,0.0,1.3,1,,228.29299999999998,False,-0.65,46,59,,,,,,,,,S245
wires,6mm AmSteel,,228.29299999999998,,4.5,E,True,0.0045000000000000005,0.006,0.0,1.3,4,Rigging shed,232.79299999999998,False,-0.0455,47,60,,,,,,,,,S245
miscs,SBE56 T (UWA),7342,,228.7,0.3,E,False,-0.05,0.025,0.0,1.3,5,,,True,,47,99,0.4070000000000107,6mm AmSteel,,True,228.29299999999998,232.79299999999998,False,False,S245
rigging,13mmBS,,232.79299999999998,,0.047,,False,-0.65,0.025,0.0,1.3,1,,232.83999999999997,False,-0.65,48,61,,,,,,,,,S245
floats,14in Panther Plast (UWA),,232.83999999999997,,0.3556,,False,17.6,0.0,0.3556,0.65,4,# http://trawlworks.com/floats.html,233.19559999999998,False,17.6,49,62,,,,,,,,,S245
floats,14in Panther Plast (UWA),,233.19559999999998,,0.3556,,False,17.6,0.0,0.3556,0.65,4,# http://trawlworks.com/floats.html,233.5512,False,17.6,50,63,,,,,,,,,S245
