type,name,buoyancy_kg,weight_kg,length_m,width_m,diameter_m,drag,material,comment
cms,75kHz+30in_sph (UWA),20,191.9,1.72,0,0.76,0.5,4,weight estimate
cms,150kHz+30in_sph (UWA),57,176.4,1.7,0,0.76,0.3,4,weight estimate
cms,100 cm Signature Frame (UWA),-7.5,22.8,1.29,0.142,0,1.3,1,weight estimate
cms,ADV+MP+uSquid+2B (UWA),-43,25,1.85,0.25,0,0.65,1,weight estimate
cms,Signature 1000,-0.8,2.8,0.3,None,None,None,1,# Check lengths
cms,Longranger,-55,124.7,1,None,None,None,1,# Check lengths
cms,Quartermaster,-38,70,1,None,None,None,1,# Check lengths
cms,Sentinel,-10.5,13,1,0.2,0,1.2,1,# Check lengths
cms,Vector,-1.5,5,0.7,None,None,None,1,# Check lengths
floats,61in ORE,999,None,1.65,0,1.65,0.65,1,
floats,48in ORE,620,None,1.234,0,1.234,0.65,1,
floats,41in ORE,433,None,1.04,0,1.04,0.65,1,
floats,37in ORE,300,None,0.94,0,0.94,0.65,1,
floats,28in ORE,133,None,0.71,0,0.71,0.65,1,
floats,30in float,160,None,0.76,0,0.76,0.65,1,
floats,Kiel SFS40in,320,None,1,0,1,0.65,1,
floats,"Torp. Flt, 3-28",364,None,0.83,0,0.83,0.75,1,
floats,17 in glass,23,None,0.57,0,0.57,0.95,1,
floats,Billings-12in,10,None,0.343,0,0.343,0.95,1,
floats,BENTHOS 17in,23,None,0.51,0,0.51,0.95,1,
floats,16in Viny,19,None,0.4,0,0.4,0.6,1,
floats,Double 17in,48,None,0.5,0,0.65,0.95,1,
floats,Double 16inViny,38,None,0.5,0,0.6,0.6,1,
floats,Trpl 16 in Viny,56,None,1.5,0,0.75,0.6,1,
floats,Trpl 12in glass,30,None,0.95,0,0.62,1,1,
floats,CDMS 1.2m sphere,682,None,1.2,0,1.2,0.5,1,
floats,CDMS 2m sphere,2470,None,2,0,2,0.5,1,
floats,54cm Alum CAP3,61,None,0.55,0,0.54,0.65,1,
floats,54x30inClamShell,405,None,1.4,0,0.75,0.15,1,
floats,Top of Tow Rope,0.01,None,0,0,0,0,1,
floats,34in MetOC (UWA),181,None,1.06,0,1.06,0.65,1,
floats,8 in mooring flo,4,None,0.2,0,0.2,0.65,4,
floats,11in plast (UWA),8.8,None,0.25,0,0.25,0.65,4,
floats,QDRP-11in (UWA),35.2,None,0.25,0,0.5,0.65,4,
floats,30in (UWA),160,96,0.96,0,0.76,0.65,4,
floats,35in (UWA),238,152,1.1,0,0.9,0.65,4,weight estimate
floats,34in (AIMS),180,140,1.06,0,0.86,0.65,4,"# check length, weight estimate"
floats,31in_750 (AIMS),143,128,0.96,0,0.795,0.65,4,
floats,30in smooth (UWA),160,96,0.76,0,0.76,0.45,4,
floats,popup buoy,9.5,19.5,0.7,0,0.4,0.65,4,
floats,14in Panther Plast (UWA),17.6,7.145,0.3556,0,0.3556,0.65,4,# http://trawlworks.com/floats.html
miscs,AanderaaT.chain,-12,None,0.55,0.128,0,1.3,1,
miscs,SBE-16,-10,None,0.45,0.08,0,1.3,1,
miscs,A. tide gauge,-12,None,0.55,0.128,0,1.3,1,
miscs,Keil sedmt trap,-80,None,2.5,0.999,0,1.3,1,
miscs,ULS#2/APL,15,None,0,0,0.65,1,1,
miscs,DataSonics Xpdr,-10,None,0.7,0.13,0,1.3,1,
miscs,Benthos Xpdr,-5,None,0,0,0.3,1,1,
miscs,Brancker TR1000,-0.448,None,0.27,0.051,0,1.3,1,
miscs,Brancker XL-200,-0.43,None,0.54,0.06,0,1.3,1,
miscs,Brancker XL-210,0.714,None,0.84,0.076,0,1.3,1,
miscs,Heavy Sphere,-10,None,0.3,0,0.3,0.65,1,
miscs,CDMS 10sqft Tow,-90.72,None,1.087,0,1.087,1,1,
miscs,CDMS 30sqft Tow,-415.72,None,1.88,0,1.88,1.2,1,
miscs,IceProfiler4+Flt,62,None,1.3,0,0.4,0.8,1,
miscs,Heavy Sphere 2,-100,None,0.4,0,0.4,0.65,1,
miscs,SBE 19+ cage,-20,None,0.45,0.2,0,1.3,1,
miscs,SBE 19,-10,None,0.35,0.05,0,1.3,1,Check these numbers
miscs,SBE37 (UWA),-2.3,None,0.56,0.1,0,1.3,1,
miscs,ADV-SBE39 (UWA),-35,None,1.64,0.252,0,0.65,1,
miscs,SBE56 (UWA),-0.05,None,0.3,0.025,0,1.3,5,
miscs,uSquid+ADV+2BP,-43,None,1.85,0.25,0,0.65,1,
miscs,SBE39 T (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE39 TP (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,FLNTUSB (UWA),-0.25,None,0.31,0.11,0,1.3,5,
miscs,SBE56 T (UWA),-0.05,None,0.3,0.025,0,1.3,5,
miscs,SBE37 CTD (UWA),-2.3,None,0.56,0.1,0,1.3,1,
miscs,ADV+MP+uSquid+2B,-43,None,1.85,0.25,0,0.65,1,
miscs,ADV+IMU+SBE56+2B,-43,None,1.85,0.25,0,0.65,1,
miscs,"Dbld 3/8"" chain",-1,None,0.2,0.044,0,1.3,1,
miscs,Sercel+frame (UWA),-10,None,0.55,0.15,0,1.3,1,
miscs,Xeos+frame (UWA),-10,None,0.55,0.15,0,1.3,1,
miscs,Signature1000,-2,2.8,0.2,0.22,0,1.3,1,
